Wedges?,Combination,Metric,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,full
No,ANAJC,C50,3.342,6.982,5.402,10.526,8.88,3.134,-0.984,2.41,-0.742,2.714,3.734,-1.228,2.606,4.122,1.516,-0.22,-1.104,0.642,1.132,3.102,2.66,5.398,7.194,7.476,3.456
No,ANAJC,C80,12.344,11.644,9.204,15.74,10.764,4.398,7.436,7.286,2.756,3.958,5.952,1.5,4.466,6.094,5.004,2.496,2.166,3.44,3.314,5.012,4.684,7.66,9.898,10.788,5.87
No,ANAJC,D50,68.36,83.3,77.64,91.86,88.54,67.3,44.38,63.52,45.72,65.14,70.28,42.96,64.56,72.1,58.64,48.72,43.68,53.68,56.48,67.14,64.84,77.6,83.96,84.82,68.88
No,ANAJC,EDT,0.4516,0.4474,0.5808,0.22,0.5162,1.073,0.5592,0.6946,1.2016,1.1648,1.1324,1.4316,1.4616,1.312,1.1396,1.385,1.344,1.131,1.1236,1.0814,1.0242,0.807,0.5612,0.4542,0.976
No,ANAJC,T20,0.3018,0.4044,0.323,0.591,0.7682,0.8656,0.9496,0.8032,1.0774,1.1612,1.2344,1.2242,1.2922,1.4622,1.478,1.3388,1.359,1.2038,1.1604,1.079,0.9774,0.8522,0.7432,0.5674,1.2456
No,ANAJC,T30,0.3812,0.6608,0.5268,0.6436,0.8158,0.7844,0.9908,0.9872,1.1114,1.119,1.1404,1.2682,1.2774,1.4002,1.4428,1.3444,1.307,1.2814,1.2204,1.123,1.0456,0.876,0.7736,0.6034,1.6038
No,ANAJC,T60M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,ANAJC,TS,0.042,0.03,0.033,0.02,0.024,0.053,0.058,0.053,0.078,0.058,0.052,0.0964,0.0614,0.0514,0.064,0.0864,0.0862,0.071,0.0644,0.052,0.052,0.0332,0.026,0.024,0.0488
No,ANAJC,Topt,0.2452,0.442,0.3328,0.5844,0.7798,0.891,1.0748,1.0894,1.0694,1.1366,1.1582,1.2882,1.305,1.3966,1.4452,1.3524,1.3262,1.2064,1.1846,1.1306,0.9354,0.853,0.7498,0.577,1.2608
No,ASAJC,C50,3.5,7.212,6.498,9.306,5.956,3.062,1.606,2.768,2.676,0.926,1.776,-0.154,6.174,5.342,1.806,1.394,3.496,4.758,3.55,3.252,4.294,3.776,5.726,8.074,4.402
No,ASAJC,C80,12.474,11.972,10.104,14.704,8.188,4.332,4.054,7.788,5.638,4.328,6.028,2.802,7.412,6.544,3.298,4.016,5.822,7.218,5.826,5.186,7.03,6.52,8.374,11.252,6.772
No,ASAJC,D50,69.12,84.06,81.7,89.48,79.74,66.94,59.14,65.42,64.96,55.32,60.08,49.12,80.54,77.38,60.26,57.94,69.1,74.92,69.36,67.9,72.88,70.44,78.9,86.52,73.38
No,ASAJC,EDT,0.4484,0.4234,0.5128,0.3272,0.76,1.1428,1.327,0.7156,1.144,1.0746,0.8268,1.1774,0.9386,1.418,1.4084,1.162,1.0088,1.0062,1.0596,0.9758,0.8876,0.7582,0.6356,0.4402,0.8922
No,ASAJC,T20,0.3064,0.3484,0.2956,0.4418,0.6898,0.9254,0.921,0.9318,1.1524,1.0504,1.042,1.2538,1.287,1.3632,1.3244,1.3738,1.303,1.2402,1.1766,1.074,0.9566,0.8212,0.7078,0.5776,1.1746
No,ASAJC,T30,0.3572,0.3434,0.3938,0.5908,0.7388,0.8072,0.8814,0.9056,1.1074,1.0992,1.1608,1.2208,1.375,1.4382,1.361,1.4112,1.3598,1.3092,1.1734,1.1078,0.9864,0.8894,0.7516,0.6028,1.5728
No,ASAJC,T60M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,ASAJC,TS,0.0414,0.029,0.0306,0.022,0.033,0.0556,0.0678,0.053,0.061,0.063,0.049,0.0806,0.039,0.0432,0.068,0.0666,0.0524,0.0398,0.0478,0.0458,0.039,0.0428,0.0322,0.0226,0.042
No,ASAJC,Topt,0.198,0.3352,0.2782,0.4816,0.8142,0.8266,0.8806,0.9144,1.15,1.0996,1.204,1.234,1.3552,1.4578,1.4226,1.415,1.29,1.2442,1.1704,1.1068,0.9756,0.8116,0.7136,0.5804,1.1846
No,AUPAJC,C50,2.866,6.326,5.21,9.322,1.438,-4.192,-5,1.592,4.932,6.318,4.148,4.186,5.016,4.554,3.632,2.47,1.968,2.834,3.8,1.012,2.996,1.618,2.698,4.936,2.96
No,AUPAJC,C80,11.904,10.752,9.422,14.684,7.138,2.798,6.602,6.666,6.9,7.844,8.284,6.232,6.906,6.556,6.712,5.646,4.436,5.37,6.254,3.504,6.254,5.762,6.69,9.49,6.14
No,AUPAJC,D50,65.9,81.1,76.84,89.52,58.18,27.56,24.04,59.08,75.7,81.06,72.24,72.42,76.04,74.04,69.76,63.84,61.14,65.74,70.6,55.8,66.58,59.2,65.04,75.72,66.38
No,AUPAJC,EDT,0.4662,0.4928,0.5636,0.3574,0.7166,0.8362,0.6346,0.6276,0.909,0.8766,0.7472,0.9006,0.9404,1.273,1.0628,1.0974,1.192,1.1936,1.2254,0.9934,0.839,0.7816,0.6526,0.5064,0.8876
No,AUPAJC,T20,0.27,0.4332,0.2954,0.5718,0.9102,0.9886,1.0814,0.9036,1.017,0.9702,1.1454,1.3384,1.3524,1.377,1.2462,1.3378,1.282,1.241,1.15,1.0422,0.9286,0.8112,0.6824,0.5518,1.1666
No,AUPAJC,T30,0.297333333,0.498,0.482,0.617,0.810333333,0.793666667,0.961666667,0.963,1.100666667,1.121666667,1.203333333,1.362,1.392333333,1.366333333,1.375,1.376333333,1.304333333,1.295333333,1.196,1.07,0.995,0.853,0.724,0.591666667,1.349
No,AUPAJC,T60M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,AUPAJC,TS,0.043,0.0312,0.034,0.021,0.047,0.08,0.072,0.056,0.0422,0.0338,0.039,0.0474,0.04,0.04,0.0452,0.0522,0.06,0.0544,0.0422,0.0628,0.046,0.05,0.0474,0.0348,0.046
No,AUPAJC,Topt,0.1946,0.4742,0.2988,0.685,0.8054,0.826,0.936,1.0266,1.1656,1.1744,1.2078,1.3604,1.3478,1.4034,1.4142,1.4156,1.2974,1.2846,1.2164,1.0694,0.8944,0.772,0.6868,0.5822,1.1822
No,A0AJC,C50,3.8725,7.4725,7.18,14.115,12.7675,9.08,5.8125,2.78,9.23,7.1,5.44,8.2425,9.7575,9.58,3.9975,4.405,5.0075,4.9725,6.8,6.2825,11.7575,13.2075,14.335,15.265,10.47
No,A0AJC,C80,12.605,13.02,10.0025,17.635,13.825,10.9125,8.5425,4.175,9.55,8.7725,6.9675,9.6375,10.4575,10.845,6.0475,6.6225,7.0275,7.0475,9.48,8.4,14.2475,16.2625,17.36,19.5325,12.585
No,A0AJC,D50,70.925,84.8,83.95,96.275,94.95,89.025,79.225,65.475,89.325,83.675,77.75,86.95,90.425,90.075,71.5,73.4,75.975,75.85,82.725,80.925,93.725,95.45,96.425,97.1,91.75
No,A0AJC,EDT,0.438,0.3825,0.546,0.165,0.15175,0.36025,0.53425,1.40625,0.5385,0.5885,1.059,0.90875,0.4795,0.533,1.11175,1.06775,1.144,1.102,0.9865,0.8835,0.311,0.08625,0.08825,0.1305,0.403
No,A0AJC,T20,0.31125,0.25225,0.32225,0.52125,0.68275,0.99825,0.8235,0.65425,0.928,0.9765,1.059,1.41075,1.21075,1.28025,1.27425,1.279,1.28175,1.23375,1.1695,1.02075,0.936,0.76375,0.612,0.49875,1.044
